reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,,,NA,,field,boat,NA,NA,transect tape,,
20,1,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,2,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,3,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,1,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,2,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,3,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,1,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,2,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,3,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,1,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,2,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,3,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,1,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,2,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,3,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,1,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,2,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,3,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,1,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,2,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,3,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,1,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,2,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,3,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,1,,,NA,,field,boat,NA,NA,transect tape,,(e.g.
22,1,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,2,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,3,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,1,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,2,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,3,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,1,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,2,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,3,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,1,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,2,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,3,,,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,1,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,2,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,3,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,1,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,2,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,3,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,1,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,2,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,3,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,1,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,2,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,3,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,